지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
119,수원,2022/09/30,81
119,수원,2022/10/01,91
119,수원,2022/10/02,45
119,수원,2022/10/03,25
119,수원,2022/10/04,19
119,수원,2022/10/05,26
119,수원,2022/10/06,17
119,수원,2022/10/07,18
119,수원,2022/10/08,17
119,수원,2022/10/09,16
119,수원,2022/10/10,16
119,수원,2022/10/11,23
119,수원,2022/10/12,32
119,수원,2022/10/13,31
119,수원,2022/10/14,38
119,수원,2022/10/15,44
119,수원,2022/10/16,57
119,수원,2022/10/17,32
119,수원,2022/10/18,27
119,수원,2022/10/19,31
119,수원,2022/10/20,52
119,수원,2022/10/21,93
119,수원,2022/10/22,74
119,수원,2022/10/23,44
119,수원,2022/10/24,30
119,수원,2022/10/25,22
119,수원,2022/10/26,20
119,수원,2022/10/27,37
119,수원,2022/10/28,73
119,수원,2022/10/29,51
119,수원,2022/10/30,43
119,수원,2022/10/31,38
119,수원,2022/11/01,76
119,수원,2022/11/02,39
119,수원,2022/11/03,41
119,수원,2022/11/04,29
119,수원,2022/11/05,31
119,수원,2022/11/06,33
119,수원,2022/11/07,43
119,수원,2022/11/08,59
119,수원,2022/11/09,87
119,수원,2022/11/10,99
119,수원,2022/11/11,72
119,수원,2022/11/12,65
119,수원,2022/11/13,24
119,수원,2022/11/14,32
119,수원,2022/11/15,36
119,수원,2022/11/16,43
119,수원,2022/11/17,46
119,수원,2022/11/18,59
119,수원,2022/11/19,38
119,수원,2022/11/20,40
119,수원,2022/11/21,61
119,수원,2022/11/22,60
119,수원,2022/11/23,50
119,수원,2022/11/24,60
119,수원,2022/11/25,71
119,수원,2022/11/26,51
119,수원,2022/11/27,24
119,수원,2022/11/28,33
119,수원,2022/11/29,22
119,수원,2022/11/30,20
119,수원,2022/12/01,20
119,수원,2022/12/02,27
119,수원,2022/12/03,42
119,수원,2022/12/04,20
119,수원,2022/12/05,23
119,수원,2022/12/06,43
119,수원,2022/12/07,33
119,수원,2022/12/08,31
119,수원,2022/12/09,52
119,수원,2022/12/10,51
119,수원,2022/12/11,45
119,수원,2022/12/12,39
119,수원,2022/12/13,110
119,수원,2022/12/14,35
119,수원,2022/12/15,39
119,수원,2022/12/16,40
119,수원,2022/12/17,29
119,수원,2022/12/18,22
119,수원,2022/12/19,29
119,수원,2022/12/20,39
119,수원,2022/12/21,48
119,수원,2022/12/22,30
119,수원,2022/12/23,23
119,수원,2022/12/24,36
119,수원,2022/12/25,50
119,수원,2022/12/26,51
119,수원,2022/12/27,59
119,수원,2022/12/28,44
119,수원,2022/12/29,45
119,수원,2022/12/30,49
119,수원,2022/12/31,59
119,수원,2023/01/01,55
119,수원,2023/01/02,26
119,수원,2023/01/03,37
119,수원,2023/01/04,45
119,수원,2023/01/05,71
119,수원,2023/01/06,110
119,수원,2023/01/07,144
119,수원,2023/01/08,99
119,수원,2023/01/09,75
119,수원,2023/01/10,70
119,수원,2023/01/11,108
119,수원,2023/01/12,81
119,수원,2023/01/13,34
119,수원,2023/01/14,17
119,수원,2023/01/15,17
119,수원,2023/01/16,24
119,수원,2023/01/17,35
119,수원,2023/01/18,55
119,수원,2023/01/19,54
119,수원,2023/01/20,55
119,수원,2023/01/21,24
119,수원,2023/01/22,30
119,수원,2023/01/23,54
119,수원,2023/01/24,43
119,수원,2023/01/25,23
119,수원,2023/01/26,62
119,수원,2023/01/27,52
119,수원,2023/01/28,33
119,수원,2023/01/29,45
119,수원,2023/01/30,44
119,수원,2023/01/31,39
119,수원,2023/02/01,63
119,수원,2023/02/02,42
119,수원,2023/02/03,44
