index,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match,pythagorean_expectation,games_back,home_win_rate,3game_results,3game_evens,home_view,home_recommend,home_reply,away_view,away_recommend,away_reply
75,Lotte,KIA,5,3,7.0,9.0,0,4.8,2.8,김진욱,A. 메디나,18:30,목,사직,6423,4,2023,0,0.0,20.9,29.2,20230420,4869.0,5401.6,lose,0.3634077334171644,1.5,0.4285714285714285,0,0,528504.0,12107.0,2138.0,439633.0,18997.0,2504.0
76,Kiwoom,Samsung,6,1,6.0,6.0,0,5.2,7.6,E. 요키시,D. 뷰캐넌,18:30,목,고척,3918,4,2023,0,0.0,15.4,15.0,20230420,3869.0,8006.6,lose,0.4357512953367876,0.0,0.4666666666666667,0,0,322558.0,11213.0,2026.0,514302.0,18190.0,2762.0
77,Hanhwa,Doosan,1,5,8.0,3.0,0,4.6,4.6,R. 알칸타라,김민우,18:30,목,대전,4122,4,2023,0,0.0,19.7,24.0,20230420,4212.0,7865.2,win,0.4268659926865992,2.5,0.3571428571428571,0,0,949855.0,27400.0,4365.0,211374.0,7860.0,1450.0
78,KIA,Samsung,5,4,10.0,8.0,0,3.0,6.0,김기훈,이승현,18:30,금,광주,6870,4,2023,0,0.0,17.4,37.0,20230421,5457.0,8966.8,even,0.4158585282373074,2.0,0.2857142857142857,0,0,428393.0,15102.0,2384.0,500994.0,14292.0,2876.0
79,NC,Lotte,2,3,2.0,8.0,0,5.2,4.4,김원중,김영규,18:30,금,창원,12613,4,2023,0,0.0,18.8,72.4,20230421,3174.0,5028.0,even,0.6963311849281111,2.0,0.5882352941176471,0,0,92927.0,2753.0,635.0,809774.0,20416.0,3486.0
80,SSG,Kiwoom,3,1,4.0,5.0,0,3.4,4.6,김광현,A. 후라도,18:30,금,문학,12374,4,2023,0,0.0,16.4,64.0,20230421,13460.0,12888.6,even,0.5703553299492385,1.5,0.6,0,0,293505.0,10338.0,1573.0,429459.0,15616.0,2827.0
81,Doosan,KT,10,6,4.0,8.0,0,4.8,6.0,곽빈,배제성,18:30,금,잠실,6896,4,2023,0,0.0,17.6,64.0,20230421,6917.0,4221.8,even,0.4663303909205548,1.5,0.5625,0,0,292371.0,11980.0,1796.0,62790.0,2192.0,678.0
82,Hanhwa,LG,2,4,9.0,1.0,0,3.4,5.6,A. 플럿코,F. 페냐,18:30,금,대전,6004,4,2023,0,0.0,17.1,42.0,20230421,4122.0,6606.6,even,0.4023575638506876,5.0,0.3333333333333333,0,0,893563.0,20212.0,4030.0,315287.0,9981.0,1890.0
83,KIA,Samsung,6,2,10.0,8.0,0,3.8,5.8,양현종,원태인,17:00,토,광주,12990,4,2023,0,0.0,16.1,141.0,20230422,6870.0,7054.4,win,0.3623603984304256,1.0,0.3333333333333333,0,0,737978.0,31778.0,4372.0,372743.0,10091.0,2121.0
84,NC,Lotte,6,10,4.0,6.0,0,5.4,3.2,C. 반즈,신민혁,17:00,토,창원,15130,4,2023,0,0.0,14.9,230.0,20230422,12613.0,5598.0,lose,0.614120010959905,1.0,0.5555555555555556,0,0,149250.0,3807.0,962.0,1030921.0,30060.0,4556.0
