,date,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수
151,20230511,롯데,두산,7,6,4.0,8.0,0,3.8,2.4,김상수,홍건희,18:30,목,사직,13350
152,20230511,한화,삼성,4,0,9.0,8.0,0,6.0,5.0,남지민,A. 수아레즈,18:30,목,대전,6007
153,20230512,KT,롯데,2,1,10.0,4.0,0,3.2,4.2,김재윤,김진욱,18:30,금,수원,10937
154,20230512,SSG,한화,2,5,1.0,9.0,0,3.8,5.2,장민재,박종훈,18:30,금,문학,14395
155,20230512,두산,KIA,6,1,8.0,8.0,0,3.0,4.6,김동주,이의리,18:30,금,잠실,20563
156,20230512,삼성,LG,4,0,8.0,2.0,0,5.0,4.0,백정현,이지강,18:30,금,대구,13765
157,20230512,키움,NC,7,4,8.0,4.0,0,4.4,6.4,임창민,김시훈,18:30,금,고척,3866
158,20230513,KT,롯데,0,5,10.0,4.0,0,3.2,3.0,한현희,엄상백,17:00,토,수원,18700
159,20230513,SSG,한화,8,5,1.0,9.0,0,3.8,4.2,송영진,문동주,17:00,토,문학,23000
160,20230513,두산,KIA,5,1,7.0,8.0,0,3.6,4.0,최승용,A. 메디나,17:00,토,잠실,23750
161,20230513,삼성,LG,4,7,7.0,2.0,0,5.6,3.6,C. 켈리,허윤동,17:00,토,대구,21817
162,20230513,키움,NC,9,2,7.0,4.0,0,5.6,6.6,E. 요키시,송명기,17:00,토,고척,6573
163,20230514,KT,롯데,3,8,10.0,3.0,0,2.8,3.6,D. 스트레일리,배제성,14:00,일,수원,15470
164,20230514,SSG,한화,3,3,1.0,9.0,0,4.0,4.0,김광현,김민우,14:00,일,문학,20757
165,20230514,두산,KIA,8,4,6.0,8.0,0,4.4,2.2,,,14:00,일,잠실,23750
166,20230514,삼성,LG,5,8,7.0,2.0,0,3.6,2.8,A. 플럿코,김태훈,14:00,일,대구,18569
167,20230514,키움,NC,4,6,6.0,4.0,0,6.2,6.8,E. 페디,A. 후라도,14:00,일,고척,5634
168,20230516,LG,KT,7,12,2.0,10.0,0,3.4,2.6,W. 벤자민,김진성,18:30,화,잠실,8567
169,20230516,NC,SSG,5,3,4.0,1.0,0,4.8,4.6,최성영,K. 맥카티,18:30,화,창원,4113
170,20230516,삼성,KIA,2,8,7.0,8.0,0,2.8,2.4,최지민,김태훈,18:30,화,대구,9112
171,20230516,키움,두산,1,4,6.0,5.0,0,6.2,5.0,최원준,최원태,18:30,화,고척,5662
172,20230516,한화,롯데,1,3,9.0,3.0,0,4.4,4.8,김원중,강재민,18:30,화,대전,6138
173,20230517,LG,KT,7,3,2.0,10.0,0,4.6,3.6,임찬규,B. 슐서,18:30,수,잠실,9838
174,20230517,NC,SSG,0,4,4.0,1.0,0,4.2,4.2,오원석,구창모,18:30,수,창원,4344
175,20230517,삼성,KIA,6,7,8.0,8.0,0,3.0,3.4,윤영철,A. 수아레즈,18:30,수,대구,10979
176,20230517,키움,두산,6,9,6.0,5.0,0,4.2,5.8,김명신,정찬헌,18:30,수,고척,5232
177,20230517,한화,롯데,2,1,9.0,3.0,0,3.6,4.8,윤대경,구승민,18:30,수,대전,6269
178,20230518,LG,KT,9,5,2.0,10.0,0,5.8,4.0,김진성,고영표,18:30,목,잠실,9155
179,20230518,키움,두산,7,3,7.0,5.0,0,5.4,6.4,안우진,김동주,18:30,목,고척,5742
180,20230518,한화,롯데,3,7,9.0,3.0,0,3.2,3.6,한현희,장민재,18:30,목,대전,6116
181,20230519,KIA,키움,10,1,6.0,5.0,0,4.2,5.4,이의리,E. 요키시,18:30,금,광주,11290
182,20230519,KT,두산,6,1,9.0,4.0,0,4.6,5.8,엄상백,최승용,18:30,금,수원,6817
183,20230519,LG,한화,3,1,1.0,8.0,0,7.6,2.8,C. 켈리,문동주,18:30,금,잠실,19798
184,20230519,NC,삼성,4,5,4.0,7.0,0,3.4,4.2,백정현,이용준,18:30,금,창원,8493
185,20230519,롯데,SSG,7,5,2.0,1.0,0,4.8,4.0,박세웅,박종훈,18:30,금,사직,19011
186,20230520,KIA,키움,3,2,7.0,7.0,0,6.0,3.8,A. 메디나,A. 후라도,17:00,토,광주,19030
187,20230520,KT,두산,0,6,10.0,5.0,0,5.8,5.0,R. 알칸타라,배제성,17:00,토,수원,13253
188,20230520,LG,한화,1,1,1.0,9.0,0,6.8,2.0,A. 플럿코,이태양,17:00,토,잠실,23750
189,20230520,NC,삼성,14,3,5.0,8.0,0,3.4,4.4,E. 페디,최하늘,17:00,토,창원,14870
190,20230520,롯데,SSG,0,5,3.0,2.0,0,5.2,4.6,김광현,D. 스트레일리,17:00,토,사직,22990
191,20230521,KIA,키움,0,1,5.0,6.0,0,6.4,3.4,최원태,양현종,14:00,일,광주,14617
192,20230521,KT,두산,7,3,9.0,4.0,0,5.2,4.6,W. 벤자민,최원준,14:00,일,수원,10521
193,20230521,LG,한화,4,1,1.0,8.0,0,5.4,1.6,김윤식,F. 페냐,14:00,일,잠실,22054
194,20230521,NC,삼성,1,2,4.0,7.0,0,5.8,4.2,오승환,류진욱,14:00,일,창원,10910
195,20230521,롯데,SSG,3,6,2.0,1.0,0,3.6,4.0,K. 맥카티,C. 반즈,14:00,일,사직,22990
196,20230523,KT,키움,1,3,9.0,6.0,0,4.2,3.4,정찬헌,B. 슐서,18:30,화,수원,4203
197,20230523,SSG,LG,1,9,1.0,1.0,0,4.6,4.8,임찬규,오원석,18:30,화,문학,12508
198,20230523,두산,삼성,7,5,4.0,7.0,0,4.4,3.6,장원준,원태인,18:30,화,잠실,10733
199,20230523,롯데,NC,2,0,2.0,4.0,0,3.6,4.8,나균안,신민혁,18:30,화,사직,15047
200,20230523,한화,KIA,9,5,8.0,6.0,0,1.6,5.6,R. 산체스,S. 앤더슨,18:30,화,대전,6376
201,20230524,KT,키움,4,1,10.0,6.0,0,3.8,2.8,고영표,안우진,18:30,수,수원,5173
202,20230524,SSG,LG,5,3,2.0,1.0,0,4.2,5.2,R. 엘리아스,이지강,18:30,수,문학,16829
203,20230524,두산,삼성,1,6,4.0,8.0,0,4.0,4.2,이승현,정철원,18:30,수,잠실,11108
204,20230524,롯데,NC,1,3,3.0,5.0,0,3.8,3.8,최성영,한현희,18:30,수,사직,14244
205,20230524,한화,KIA,2,4,9.0,7.0,0,3.0,5.0,최지민,강재민,18:30,수,대전,7004
206,20230525,KT,키움,3,0,9.0,6.0,0,3.6,1.6,엄상백,E. 요키시,18:30,목,수원,5235
207,20230525,SSG,LG,3,8,1.0,1.0,0,4.4,4.0,C. 켈리,송영진,18:30,목,문학,17575
208,20230525,두산,삼성,4,3,4.0,7.0,0,3.6,4.2,박정수,홍정우,18:30,목,잠실,11005
209,20230525,롯데,NC,11,1,2.0,4.0,0,2.6,4.4,박세웅,이용준,18:30,목,사직,15221
210,20230525,한화,KIA,4,3,8.0,6.0,0,2.8,4.4,윤대경,장현식,18:30,목,대전,8186
211,20230526,KIA,LG,3,5,7.0,1.0,0,3.0,5.0,A. 플럿코,A. 메디나,18:30,금,광주,10954
212,20230526,NC,한화,11,0,5.0,9.0,0,3.8,3.4,E. 페디,김민우,18:30,금,창원,5952
213,20230526,두산,SSG,3,14,4.0,2.0,0,4.2,4.0,박종훈,R. 알칸타라,18:30,금,잠실,10428
214,20230526,삼성,KT,1,4,8.0,10.0,0,3.8,3.0,배제성,양창섭,18:30,금,대구,12874
215,20230526,키움,롯데,0,2,7.0,3.0,0,1.4,3.4,D. 스트레일리,A. 후라도,18:30,금,고척,11692
216,20230527,KIA,LG,6,3,7.0,1.0,1,3.0,5.8,양현종,김윤식,14:00,토,광주,17931
217,20230527,NC,한화,0,5,5.0,10.0,1,3.2,3.2,F. 페냐,이재학,14:00,토,창원,9558
218,20230527,삼성,KT,2,5,8.0,10.0,1,3.4,3.8,W. 벤자민,D. 뷰캐넌,14:00,토,대구,17305
219,20230527,키움,롯데,5,6,7.0,3.0,1,1.0,3.8,C. 반즈,최원태,14:00,토,고척,16000
220,20230528,KIA,LG,1,7,6.0,1.0,0,4.2,5.6,임찬규,S. 앤더슨,14:00,일,광주,17015
221,20230528,삼성,KT,6,4,8.0,10.0,0,3.4,3.4,원태인,B. 슐서,14:00,일,대구,14523
222,20230528,키움,롯데,7,5,7.0,3.0,0,1.8,4.4,정찬헌,나균안,14:00,일,고척,16000
223,20230530,KIA,KT,6,1,7.0,10.0,0,3.4,4.0,이의리,고영표,18:30,화,광주,5352
224,20230530,LG,롯데,3,1,1.0,3.0,0,5.2,5.0,유영찬,한현희,18:30,화,잠실,20330
225,20230530,NC,두산,5,0,5.0,5.0,0,3.0,3.6,T. 와이드너,최원준,18:30,화,창원,3180
226,20230530,SSG,삼성,3,2,2.0,8.0,0,5.8,3.6,K. 맥카티,A. 수아레즈,18:30,화,문학,10232
227,20230530,한화,키움,7,1,10.0,7.0,0,4.0,2.6,R. 산체스,안우진,18:30,화,대전,4486
228,20230531,KIA,KT,7,1,6.0,10.0,0,3.8,3.4,윤영철,엄상백,18:30,수,광주,7244
229,20230531,LG,롯데,1,7,1.0,3.0,0,5.2,5.0,박세웅,C. 켈리,18:30,수,잠실,21269
230,20230531,NC,두산,2,3,4.0,5.0,0,4.0,3.0,곽빈,이용준,18:30,수,창원,4180
231,20230531,SSG,삼성,2,3,2.0,8.0,0,5.2,2.8,백정현,R. 엘리아스,18:30,수,문학,10745
232,20230531,한화,키움,3,15,9.0,7.0,0,3.6,2.6,E. 요키시,장민재,18:30,수,대전,4384
233,20230601,LG,롯데,6,1,1.0,3.0,0,3.8,4.2,A. 플럿코,C. 반즈,18:30,목,잠실,22020
234,20230601,SSG,삼성,14,2,2.0,8.0,0,5.4,2.8,문승원,양창섭,18:30,목,문학,9028
235,20230601,한화,키움,7,3,9.0,7.0,0,3.8,5.6,문동주,A. 후라도,18:30,목,대전,5040
236,20230602,KT,두산,1,10,10.0,5.0,0,3.0,2.2,R. 알칸타라,배제성,18:30,금,수원,5157
237,20230602,LG,NC,2,9,1.0,5.0,0,4.0,3.8,최성영,김윤식,18:30,금,잠실,10238
238,20230602,SSG,키움,3,2,2.0,7.0,0,7.2,6.2,노경은,임창민,18:30,금,문학,12533
