index,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match,pythagorean_expectation,games_back,home_win_rate,3game_results,3game_evens
54,SSG,Samsung,5,0,1.0,5.0,0,5.8,5.4,김광현,A. 수아레즈,18:30,금,문학,9441,4,2022,0,0.0,12.2,23.5,20220415,17849.0,13632.583333333334,even,0.8920741989881956,4.0,0.9090909090909091,0,0
55,Doosan,Kiwoom,2,4,4.0,4.0,0,4.4,5.0,T. 애플러,최원준,18:30,금,잠실,4423,4,2022,0,0.0,13.2,23.5,20220415,4055.0,7988.2,even,0.4272189349112426,0.5,0.7,0,0
55,Doosan,Kiwoom,2,4,4.0,4.0,0,4.4,5.0,T. 애플러,최원준,18:30,금,잠실,4423,4,2022,0,0.0,13.2,23.5,20220415,4055.0,7988.2,even,0.4272189349112426,0.5,0.7,0,0
56,Lotte,KT,9,7,6.0,10.0,0,3.4,2.8,이인복,배제성,18:30,금,사직,4610,4,2022,0,0.0,11.6,28.0,20220415,11646.0,8773.0,even,0.4811387900355872,3.0,0.5,0,0
57,Hanhwa,LG,7,3,10.0,2.0,0,3.4,4.0,윤대경,이민호,18:30,금,대전,3320,4,2022,0,0.0,11.3,21.0,20220415,5735.0,4974.861111111111,even,0.41857981847303793,6.0,0.18181818181818182,0,0
58,NC,KIA,0,14,9.0,7.0,0,2.4,3.0,로니,신민혁,17:00,토,창원,4580,4,2022,0,0.0,12.0,35.8,20220416,3002.0,3414.6,win,0.31734837799717913,1.5,0.25,0,0
59,SSG,Samsung,6,2,1.0,6.0,0,5.0,5.4,노경은,백정현,14:00,토,문학,16037,4,2022,0,0.0,11.3,39.0,20220416,9441.0,13632.583333333334,win,0.8620689655172413,5.0,0.9166666666666666,0,0
60,Doosan,Kiwoom,4,1,4.0,3.0,0,3.6,5.2,이영하,E. 요키시,17:00,토,잠실,9737,4,2022,0,0.0,13.4,39.0,20220416,4423.0,5618.6,lose,0.5360974195418962,0.5,0.6363636363636364,0,0
60,Doosan,Kiwoom,4,1,4.0,3.0,0,3.6,5.2,이영하,E. 요키시,17:00,토,잠실,9737,4,2022,0,0.0,13.4,39.0,20220416,4423.0,5618.6,lose,0.5360974195418962,0.5,0.6363636363636364,0,0
61,Lotte,KT,0,8,6.0,10.0,0,5.0,3.4,O. 데스파이네,G. 스파크맨,17:00,토,사직,10639,4,2022,0,0.0,11.8,35.8,20220416,4610.0,8773.0,win,0.5117630777747024,4.0,0.5454545454545454,0,0
62,Hanhwa,LG,2,6,9.0,3.0,0,3.4,3.2,C. 켈리,N. 킹험,17:00,토,대전,8112,4,2022,0,0.0,11.1,28.0,20220416,3320.0,4974.861111111111,win,0.3113613101330604,5.0,0.25,0,0
63,NC,KIA,3,4,10.0,7.0,0,1.8,4.8,전상현,류진욱,14:00,일,창원,3902,4,2022,0,0.0,14.6,41.4,20220417,4580.0,3369.0,lose,0.21106941838649157,2.5,0.23076923076923078,0,0
64,SSG,Samsung,7,5,1.0,6.0,0,4.0,4.8,I. 노바,원태인,14:00,일,문학,15104,4,2022,0,0.0,11.1,47.0,20220417,16037.0,15989.4,win,0.8656597774244833,6.0,0.9230769230769231,0,0
65,Doosan,Kiwoom,2,6,4.0,4.0,0,3.6,4.2,윤정현,최승용,14:00,일,잠실,8762,4,2022,0,0.0,14.1,47.0,20220417,9737.0,5297.0,win,0.5678663239074551,0.5,0.6666666666666666,0,0
65,Doosan,Kiwoom,2,6,4.0,4.0,0,3.6,4.2,윤정현,최승용,14:00,일,잠실,8762,4,2022,0,0.0,14.1,47.0,20220417,9737.0,5297.0,win,0.5678663239074551,0.5,0.6666666666666666,0,0
66,Lotte,KT,3,0,6.0,10.0,0,4.0,4.8,C. 반즈,엄상백,14:00,일,사직,9231,4,2022,0,0.0,14.9,41.4,20220417,10639.0,9760.0,lose,0.4251552080938147,3.0,0.5,0,0
67,Hanhwa,LG,7,8,10.0,2.0,0,2.6,3.4,고우석,김종수,14:00,일,대전,6566,4,2022,0,0.0,12.3,31.0,20220417,8112.0,5845.0,lose,0.29098147827592175,6.0,0.23076923076923078,0,0
68,KIA,Doosan,6,3,7.0,4.0,0,5.2,3.2,유승철,홍건희,18:30,화,광주,2658,4,2022,0,0.0,14.4,29.0,20220419,3838.0,3244.4,even,0.2994818652849741,2.0,0.46153846153846156,0,0
69,LG,KT,0,5,2.0,10.0,0,4.8,4.0,고영표,김윤식,18:30,화,잠실,4537,4,2022,0,0.0,15.7,60.0,20220419,6500.0,8899.6,even,0.7405922270203578,6.5,0.7142857142857143,0,0
70,NC,Samsung,11,8,10.0,7.0,0,2.4,5.4,원종현,임대한,18:30,화,창원,1725,4,2022,0,0.0,17.6,40.0,20220419,3902.0,3500.2,even,0.22075815933509021,3.0,0.21428571428571427,0,0
71,SSG,Kiwoom,5,8,1.0,3.0,0,4.6,3.4,정찬헌,오원석,18:30,화,문학,5931,4,2022,0,0.0,12.6,60.0,20220419,15104.0,15887.2,even,0.8472178060413355,4.0,0.9285714285714286,0,0
72,Lotte,Hanhwa,2,6,5.0,10.0,0,4.0,4.0,김민우,이인복,18:30,화,사직,4053,4,2022,0,0.0,16.7,40.0,20220419,9231.0,9834.2,even,0.4584055459272097,4.5,0.5384615384615384,0,0
73,KIA,Doosan,3,4,6.0,4.0,0,5.2,3.2,김강률,전상현,18:30,수,광주,4010,4,2022,0,0.0,13.8,33.0,20220420,2658.0,3208.0,win,0.45874812491476885,1.0,0.5,0,0
74,LG,KT,3,5,3.0,10.0,0,4.4,4.8,소형준,A. 플럿코,18:30,수,잠실,4595,4,2022,0,0.0,16.4,59.0,20220420,4537.0,6941.4,lose,0.6353558926487748,5.5,0.6666666666666666,0,0
75,NC,Samsung,3,0,10.0,7.0,0,3.8,4.6,D. 루친스키,D. 뷰캐넌,18:30,수,창원,2104,4,2022,0,0.0,17.6,43.0,20220420,1725.0,3245.2,win,0.2832065535400819,2.0,0.26666666666666666,0,0
76,SSG,Kiwoom,6,1,1.0,3.0,0,4.8,4.0,W. 폰트,안우진,18:30,수,문학,5061,4,2022,0,0.0,13.1,59.0,20220420,5931.0,12872.4,lose,0.8,3.0,0.8666666666666667,0,0
77,Lotte,Hanhwa,7,0,6.0,10.0,0,3.4,5.0,박세웅,박윤철,18:30,수,사직,4340,4,2022,0,0.0,17.6,43.0,20220420,4053.0,8035.8,lose,0.4235294117647059,3.5,0.5,0,0
78,KIA,Doosan,1,2,6.0,4.0,0,5.4,3.0,최원준,S. 놀린,18:30,목,광주,3474,4,2022,0,0.0,13.9,29.0,20220421,4010.0,3386.6,lose,0.45322777101096223,2.0,0.4666666666666667,0,0
79,LG,KT,2,6,3.0,9.0,0,4.0,5.0,O. 데스파이네,손주영,18:30,목,잠실,4410,4,2022,0,0.0,16.7,43.0,20220421,4595.0,5241.4,lose,0.6114821474441305,4.5,0.625,0,0
80,NC,Samsung,3,10,9.0,7.0,0,4.4,3.0,A. 수아레즈,W. 파슨스,18:30,목,창원,1675,4,2022,0,3.0,13.5,19.0,20220421,2104.0,3062.6,win,0.3107328738219159,1.0,0.3125,0,0
81,SSG,Kiwoom,4,2,1.0,3.0,0,5.8,4.0,김광현,T. 애플러,18:30,목,문학,8080,4,2022,0,0.0,14.8,43.0,20220421,5061.0,10314.8,win,0.8151571164510166,4.0,0.875,0,0
82,Lotte,Hanhwa,6,7,5.0,10.0,0,4.2,4.4,김범수,구승민,18:30,목,사직,3306,4,2022,0,5.0,13.9,19.0,20220421,4340.0,6574.6,win,0.490991722123032,4.5,0.5333333333333333,0,0
83,KT,NC,4,3,8.0,10.0,0,4.8,4.0,배제성,신민혁,18:30,금,수원,2276,4,2022,0,0.0,13.0,56.0,20220422,2241.0,2274.0,even,0.3218352310783657,1.5,0.375,0,0
84,Doosan,LG,1,5,4.0,4.0,0,3.0,3.8,C. 켈리,이영하,18:30,금,잠실,8472,4,2022,0,0.0,15.7,52.0,20220422,8762.0,6227.6,even,0.520824295010846,0.5,0.625,0,0
85,Samsung,Lotte,2,8,7.0,5.0,0,5.0,3.6,C. 반즈,백정현,18:30,금,대구,7951,4,2022,0,0.0,18.4,40.0,20220422,2869.0,6748.2,even,0.6882158310002545,1.5,0.4117647058823529,0,0
87,Hanhwa,SSG,2,0,10.0,1.0,0,4.4,5.6,장민재,노경은,18:30,금,대전,3146,4,2022,0,0.0,15.1,30.0,20220422,6566.0,6054.2,even,0.3076923076923077,10.0,0.29411764705882354,0,0
88,KT,NC,4,3,8.0,10.0,0,4.0,4.6,심재민,송명기,17:00,토,수원,8255,4,2022,0,0.0,14.4,66.0,20220423,2276.0,2318.2,win,0.5076331429903275,2.5,0.4117647058823529,0,0
89,Doosan,LG,4,2,4.0,2.0,0,2.4,3.6,최승용,임준형,17:00,토,잠실,17799,4,2022,0,0.0,17.9,53.0,20220423,8472.0,7089.8,lose,0.47522184300341297,0.5,0.5882352941176471,0,0
90,Samsung,Lotte,2,4,8.0,5.0,0,5.0,5.2,G. 스파크맨,이재익,17:00,토,대구,14983,4,2022,0,0.0,18.6,41.0,20220423,7951.0,5726.6,lose,0.506369168356998,2.5,0.3888888888888889,0,0
92,Hanhwa,SSG,9,2,9.0,1.0,0,4.4,4.4,신정락,I. 노바,17:00,토,대전,7514,4,2022,0,0.0,18.0,26.0,20220423,3146.0,5375.8,win,0.34399375975039004,9.0,0.3333333333333333,0,0
93,KT,NC,1,2,7.0,10.0,0,4.8,4.6,이용찬,박시영,14:00,일,수원,5719,4,2022,0,0.0,16.2,69.0,20220424,8255.0,3550.4,win,0.5144897102057959,3.5,0.4444444444444444,0,0
94,Doosan,LG,0,5,4.0,4.0,0,2.8,2.4,임찬규,곽빈,14:00,일,잠실,14848,4,2022,0,0.0,18.8,50.0,20220424,17799.0,9838.6,win,0.4921264724116553,0.5,0.6111111111111112,0,0
95,Samsung,Lotte,4,7,9.0,5.0,0,4.4,5.4,이인복,양창섭,14:00,일,대구,12782,4,2022,0,0.0,21.0,44.0,20220424,14983.0,6401.2,lose,0.4938652615732029,3.5,0.3684210526315789,0,0
97,Hanhwa,SSG,1,3,9.0,1.0,0,4.8,3.4,오원석,김민우,14:00,일,대전,6612,4,2022,0,0.0,18.5,32.0,20220424,7514.0,5731.6,win,0.3955742083174361,8.0,0.3684210526315789,0,0
98,KT,KIA,5,10,7.0,6.0,0,4.0,4.8,양현종,박시영,18:30,화,수원,6277,4,2022,0,13.5,18.7,42.0,20220426,5719.0,4188.2,even,0.5070918418670154,1.0,0.42105263157894735,0,0
99,Doosan,NC,8,4,5.0,10.0,0,2.2,2.8,R. 스탁,D. 루친스키,18:30,화,잠실,3644,4,2022,0,4.0,21.5,47.0,20220426,14848.0,11923.6,even,0.45463917525773195,5.5,0.5789473684210527,0,0
100,Lotte,SSG,1,8,5.0,1.0,0,6.4,3.0,W. 폰트,김진욱,18:30,화,사직,2731,4,2022,0,99.5,18.5,34.75,20220426,3306.0,6313.8,even,0.4838751625487646,4.5,0.5789473684210527,0,0
101,Samsung,LG,7,4,9.0,2.0,0,3.6,3.4,D. 뷰캐넌,이정용,18:30,화,대구,3920,4,2022,0,20.5,17.9,23.0,20220426,12782.0,8148.2,even,0.47702363660372377,5.0,0.35,0,0
102,Hanhwa,Kiwoom,5,2,9.0,5.0,0,3.8,2.4,김범수,이승호,18:30,화,대전,2647,4,2022,0,27.0,17.6,27.0,20220426,6612.0,6390.0,even,0.3863553976654825,4.0,0.35,0,0
103,KT,KIA,3,1,9.0,6.0,0,4.0,6.2,소형준,S. 놀린,18:30,수,수원,6123,4,2022,0,0.0,14.6,111.0,20220427,6277.0,4953.6,lose,0.4743758212877792,2.0,0.4,0,0
104,Doosan,NC,6,5,3.0,10.0,0,3.0,3.0,이승진,임정호,18:30,수,잠실,3450,4,2022,0,0.0,17.9,169.0,20220427,3644.0,10705.0,win,0.48611378977820635,6.5,0.6,0,0
105,Lotte,SSG,1,1,5.0,1.0,0,5.2,3.4,박세웅,김광현,18:30,수,사직,6831,4,2022,0,0.0,16.0,45.0,20220427,2731.0,4732.2,lose,0.5124980471801281,5.5,0.55,0,0
106,Samsung,LG,0,7,9.0,3.0,0,5.0,3.6,이민호,A. 수아레즈,18:30,수,대구,5063,4,2022,0,0.0,17.2,61.0,20220427,3920.0,8501.0,win,0.49459475252731844,4.0,0.38095238095238093,0,0
107,Hanhwa,Kiwoom,0,7,9.0,5.0,0,4.8,2.6,E. 요키시,윤대경,18:30,수,대전,3459,4,2022,0,0.0,15.6,84.0,20220427,2647.0,5297.0,win,0.4077747989276139,3.0,0.38095238095238093,0,0
108,KT,KIA,5,3,7.0,6.0,0,3.4,6.2,심재민,전상현,18:30,목,수원,6111,4,2022,0,0.0,15.1,65.0,20220428,6123.0,5730.0,win,0.4875019528198719,1.0,0.42857142857142855,0,0
109,Doosan,NC,5,9,3.0,10.0,0,3.8,3.4,김시훈,이영하,18:30,목,잠실,5223,4,2022,0,0.0,18.2,77.0,20220428,3450.0,9642.6,win,0.493548655623075,7.5,0.6190476190476191,0,0
110,Lotte,SSG,4,1,5.0,1.0,0,4.2,2.8,C. 반즈,노경은,18:30,목,사직,7126,4,2022,0,0.0,15.6,64.0,20220428,6831.0,4252.2,even,0.512343797622676,5.5,0.55,0,0
111,Samsung,LG,4,6,9.0,3.0,0,3.0,4.6,정우영,이승현,18:30,목,대구,5279,4,2022,0,0.0,15.5,65.0,20220428,5063.0,8939.8,lose,0.4584055459272097,5.0,0.36363636363636365,0,0
112,Hanhwa,Kiwoom,1,3,9.0,4.0,0,3.4,3.6,T. 애플러,장민재,18:30,목,대전,3531,4,2022,0,0.0,16.1,57.0,20220428,3459.0,4675.6,lose,0.373595333128646,4.0,0.36363636363636365,0,0
113,KIA,Samsung,3,4,7.0,9.0,0,5.8,3.4,문용익,정해영,18:30,금,광주,7487,4,2022,0,17.0,14.0,20.0,20220429,3474.0,3526.8,even,0.44671702498547355,2.5,0.45454545454545453,0,0
114,LG,Lotte,4,9,2.0,5.0,0,4.8,3.4,김도규,김진성,18:30,금,잠실,15681,4,2022,0,15.5,13.5,20.0,20220429,4410.0,4917.8,even,0.5753252682036065,1.0,0.6086956521739131,0,0
115,NC,Hanhwa,9,4,10.0,9.0,0,4.6,3.2,송명기,남지민,18:30,금,창원,3405,4,2022,0,21.0,12.4,20.0,20220429,1675.0,2797.2,even,0.2808988764044944,1.0,0.30434782608695654,0,0
