,home,away,home_score,away_score,home_rank,away_rank,공휴일,merged_ex_score,merged_ex_score_away,pitcher1,pitcher2,time,요일,구장,관중수,month,year,first_game,rain,temp,pm10,date,before_attendance,before_5game_avg,last_match
97,LG,SSG,3,5,1.0,2.0,0,5.4,5.4,송영진,김윤식,18:30,수,잠실,10419,04,2023,0,0.0,10.4,28.0,20230426,7344.0,10037.6,win
98,Lotte,Hanhwa,8,1,5.0,10.0,0,4.6,3.4,한현희,장민재,18:30,수,사직,7905,04,2023,0,0.0,13.3,39.0,20230426,6423.0,5629.0,even
99,Samsung,Doosan,1,0,9.0,4.0,0,3.8,5.4,D. 뷰캐넌,R. 알칸타라,18:30,수,대구,9213,04,2023,0,0.0,12.8,31.0,20230426,16076.0,10696.8,even
100,Kiwoom,KT,13,2,6.0,9.0,0,3.4,2.6,E. 요키시,W. 벤자민,18:30,수,고척,2489,04,2023,0,0.0,9.9,28.0,20230426,2956.0,5022.4,win
101,KIA,NC,5,0,8.0,5.0,0,4.4,3.4,전상현,구창모,18:30,목,광주,6017,04,2023,0,0.0,12.4,38.0,20230427,4798.0,7380.0,win
102,LG,SSG,6,3,1.0,2.0,0,4.2,4.8,A. 플럿코,최민준,18:30,목,잠실,13061,04,2023,0,0.0,14.0,43.0,20230427,10419.0,8103.4,lose
103,Lotte,Hanhwa,3,0,5.0,10.0,0,6.2,2.2,나균안,김민우,18:30,목,사직,10393,04,2023,0,0.0,14.1,38.0,20230427,7905.0,5906.2,win
104,Samsung,Doosan,7,6,8.0,5.0,0,2.2,4.2,이상민,정철원,18:30,목,대구,8473,04,2023,0,0.0,14.7,31.0,20230427,9213.0,11458.4,win
105,Kiwoom,KT,3,1,6.0,9.0,0,4.8,2.0,A. 후라도,조이현,18:30,목,고척,3024,04,2023,0,0.0,13.2,43.0,20230427,2489.0,3267.2,win
106,KT,Samsung,9,10,9.0,8.0,0,1.0,3.4,김태훈,,18:30,금,수원,7314,04,2023,0,0.0,14.4,48.0,20230428,4472.0,7499.4,even
107,LG,KIA,3,4,1.0,8.0,0,4.6,4.4,양현종,,18:30,금,잠실,22695,04,2023,0,1.0,16.6,38.0,20230428,13061.0,9400.8,even
108,SSG,Doosan,4,1,2.0,6.0,0,4.8,4.4,K. 맥카티,최승용,18:30,금,문학,14909,04,2023,0,1.0,14.7,38.0,20230428,15878.0,14440.6,even
109,Lotte,Kiwoom,5,2,3.0,6.0,0,5.8,5.2,노진혁,최원태,18:30,금,사직,14343,04,2023,0,0.0,17.1,29.0,20230428,10393.0,6683.8,even
110,Hanhwa,NC,4,6,10.0,6.0,0,2.0,3.0,신민혁,F. 페냐,18:30,금,대전,7242,04,2023,0,0.0,15.0,33.0,20230428,9023.0,6902.6,even
111,KT,Samsung,2,3,9.0,8.0,0,2.6,4.6,원태인,손동현,17:00,토,수원,12039,04,2023,0,16.1875,12.3,34.0,20230429,7314.0,6319.8,lose
112,LG,KIA,3,6,1.0,8.0,0,4.6,4.0,S. 앤더슨,강효종,17:00,토,잠실,23750,04,2023,0,27.5,13.7,25.0,20230429,22695.0,12521.8,lose
113,SSG,Doosan,10,4,2.0,6.0,0,5.0,2.6,오원석,최원준,17:00,토,문학,20180,04,2023,0,15.5,12.6,25.0,20230429,14909.0,14631.2,win
114,Hanhwa,NC,2,3,10.0,4.0,0,2.4,3.0,이용준,남지민,17:00,토,대전,7813,04,2023,0,10.5,13.1,22.0,20230429,7242.0,7508.6,lose
115,KT,Samsung,0,1,8.0,7.0,0,2.8,4.8,우규민,김재윤,14:00,일,수원,14582,04,2023,0,0.0,12.3,45.0,20230430,12039.0,6125.6,lose
116,LG,KIA,8,12,1.0,7.0,0,4.0,4.2,정해영,고우석,14:00,일,잠실,23750,04,2023,0,0.5,13.8,47.0,20230430,23750.0,15453.8,lose
117,SSG,Doosan,0,2,1.0,7.0,0,5.2,2.4,곽빈,박종훈,14:00,일,문학,21026,04,2023,0,0.0,12.7,47.0,20230430,20180.0,15975.2,win
118,Lotte,Kiwoom,5,3,3.0,7.0,0,6.2,5.2,김상수,김동혁,14:00,일,사직,22990,04,2023,0,0.0,15.4,44.0,20230430,14343.0,8786.6,win
119,Hanhwa,NC,1,4,9.0,3.0,0,2.8,3.0,E. 페디,문동주,14:00,일,대전,10442,04,2023,0,0.0,12.7,41.0,20230430,7813.0,8246.8,lose
120,KIA,Lotte,4,7,6.0,3.0,0,6.6,5.2,김진욱,A. 메디나,18:30,화,광주,8892,05,2023,0,0.0,16.4,32.0,20230502,6017.0,7209.4,win
121,NC,LG,3,5,3.0,1.0,0,2.6,4.6,박명근,김영규,18:30,화,창원,3939,05,2023,0,0.0,16.5,41.0,20230502,13286.0,9330.2,win
122,SSG,KT,4,11,1.0,8.0,0,4.4,2.8,W. 벤자민,문승원,18:30,화,문학,6950,05,2023,0,0.0,15.8,39.0,20230502,21026.0,17705.6,lose
123,Doosan,Hanhwa,3,0,6.0,9.0,0,2.6,1.6,R. 알칸타라,장민재,18:30,화,잠실,9834,05,2023,0,0.0,17.7,39.0,20230502,10151.0,8349.2,lose
124,Samsung,Kiwoom,0,4,6.0,7.0,0,4.4,4.4,하영민,김태훈,18:30,화,대구,10624,05,2023,0,0.0,17.0,34.0,20230502,8473.0,12223.4,win
125,KIA,Lotte,10,2,8.0,3.0,0,6.2,5.6,윤영철,나균안,18:30,수,광주,13815,05,2023,0,0.0,17.3,25.0,20230503,8892.0,6389.8,lose
126,NC,LG,1,2,4.0,1.0,0,3.2,5.0,A. 플럿코,구창모,18:30,수,창원,4874,05,2023,0,0.0,17.2,29.0,20230503,3939.0,9628.4,lose
127,SSG,KT,5,3,3.0,9.0,0,4.2,4.6,노경은,손동현,18:30,수,문학,7703,05,2023,0,0.0,18.7,47.0,20230503,6950.0,15788.6,lose
128,Doosan,Hanhwa,3,8,5.0,10.0,0,3.2,1.4,김민우,최승용,18:30,수,잠실,14271,05,2023,0,0.0,20.1,47.0,20230503,9834.0,9441.6,win
129,Samsung,Kiwoom,1,4,8.0,8.0,0,4.2,5.0,A. 후라도,오승환,18:30,수,대구,13394,05,2023,0,0.0,18.3,34.0,20230503,10624.0,12523.4,lose
130,SSG,KT,10,2,2.0,9.0,0,4.6,5.0,K. 맥카티,B. 슐서,18:30,목,문학,7529,05,2023,0,0.0,20.4,48.0,20230504,7703.0,14153.6,win
